step,epoch,loss,learning_rate,grad_norm
,0.01,2.5147,0.0,1.288909912109375
,0.01,2.9355,1.1111111111111112e-05,1.4479949474334717
,0.02,2.721,2.2222222222222223e-05,1.1791975498199463
,0.02,2.4891,3.3333333333333335e-05,1.3198899030685425
,0.03,2.4927,4.4444444444444447e-05,1.4622951745986938
,0.03,2.3957,5.555555555555556e-05,1.4534538984298706
,0.04,2.4755,6.666666666666667e-05,1.3873000144958496
,0.04,1.8246,7.777777777777778e-05,1.2229878902435303
,0.05,2.1845,8.888888888888889e-05,1.3214619159698486
,0.05,2.0385,0.0001,1.291521668434143
,0.06,1.6612,0.00011111111111111112,0.8765276670455933
,0.06,1.3279,0.00012222222222222224,0.7064810395240784
,0.07,1.4577,0.00013333333333333334,0.7863172888755798
,0.07,1.5855,0.00014444444444444444,0.8876233100891113
,0.08,1.5689,0.00015555555555555556,0.9151845574378967
,0.08,1.5556,0.0001666666666666667,0.984602689743042
,0.09,1.5969,0.00017777777777777779,1.0281416177749634
,0.09,1.3357,0.00018888888888888888,0.9379688501358032
,0.1,1.4996,0.0002,0.9690061211585999
,0.1,1.1953,0.00019999848113582384,0.7444121837615967
,0.11,1.1788,0.00019999392458943432,0.6899446249008179
,0.11,1.1537,0.0001999863304992469,0.6924856901168823
,0.12,1.2348,0.00019997569909594947,0.785691499710083
,0.12,1.0736,0.00019996203070249516,0.7443044185638428
,0.13,0.9649,0.00019994532573409262,0.7261354923248291
,0.13,1.09,0.00019992558469819342,0.7144994139671326
,0.14,1.0319,0.0001999028081944766,0.7576508522033691
,0.14,1.0346,0.00019987699691483048,0.7033384442329407
,0.15,0.8817,0.00019984815164333163,0.6860293745994568
,0.15,1.0244,0.00019981627325622102,0.7120825052261353
,0.16,0.9933,0.00019978136272187747,0.7686567306518555
,0.16,0.9546,0.00019974342110078817,0.9762352705001831
,0.17,0.7319,0.0001997024495455165,0.761355996131897
,0.17,0.7984,0.000199658449300667,0.8715683221817017
,0.18,0.8637,0.00019961142170284762,0.9472033977508545
,0.18,0.7836,0.00019956136818062898,1.0549912452697754
,0.19,0.7541,0.00019950829025450114,0.7823850512504578
,0.19,0.6477,0.00019945218953682734,0.9113950729370117
,0.2,0.6173,0.00019939306773179497,0.8488947749137878
,0.2,0.7725,0.00019933092663536382,0.9013473391532898
,0.21,0.8697,0.00019926576813521164,1.272478699684143
,0.21,0.6127,0.0001991975942106767,0.9875633716583252
,0.22,0.5069,0.00019912640693269752,1.062739372253418
,0.23,0.5337,0.00019905220846375032,0.865800678730011
,0.23,0.5499,0.000198975001057783,0.9026419520378113
,0.24,0.4588,0.00019889478706014687,0.9321926832199097
,0.24,0.3387,0.00019881156890752517,0.7808802127838135
,0.25,0.8053,0.00019872534912785943,1.4002981185913086
,0.25,0.4779,0.00019863613034027224,1.0716115236282349
,0.26,0.5831,0.0001985439152549881,1.3334041833877563
,0.26,0.3641,0.00019844870667325073,0.9387093186378479
,0.27,0.597,0.00019835050748723824,1.1107475757598877
,0.27,0.6342,0.00019824932067997515,1.167958378791809
,0.28,0.5244,0.0001981451493252418,1.0769026279449463
,0.28,0.398,0.00019803799658748094,1.0390689373016357
,0.29,0.5103,0.0001979278657217017,1.0443310737609863
,0.29,0.3776,0.00019781476007338058,1.0793672800064087
,0.3,0.4451,0.00019769868307835994,1.4471603631973267
,0.3,0.5542,0.00019757963826274357,1.3116456270217896
,0.31,0.5294,0.00019745762924278958,1.107978343963623
,0.31,0.473,0.0001973326597248006,1.0280834436416626
,0.32,0.4729,0.00019720473350501105,1.0141452550888062
,0.32,0.2758,0.000197073854469472,0.8850632905960083
,0.33,0.4549,0.00019694002659393305,1.2374461889266968
,0.33,0.5471,0.0001968032539437215,1.147364616394043
,0.34,0.4478,0.00019666354067361888,0.8396599888801575
,0.34,0.2284,0.00019652089102773488,0.8760764002799988
,0.35,0.4957,0.00019637530933937819,1.10735023021698
,0.35,0.283,0.00019622680003092503,1.049916386604309
,0.36,0.2627,0.00019607536761368484,1.15130615234375
,0.36,0.4059,0.00019592101668776298,0.9900881052017212
,0.37,0.1985,0.00019576375194192138,0.7812050580978394
,0.37,0.359,0.00019560357815343577,0.734615683555603
,0.38,0.2866,0.00019544050018795075,1.2835372686386108
,0.38,0.4357,0.0001952745229993319,0.961330771446228
,0.39,0.4095,0.00019510565162951537,1.4892164468765259
,0.39,0.2105,0.00019493389120835462,0.8445378541946411
,0.4,0.3131,0.00019475924695346462,1.1078764200210571
,0.4,0.2579,0.00019458172417006347,0.9729989171028137
,0.41,0.3105,0.00019440132825081108,0.9494526982307434
,0.41,0.1853,0.00019421806467564544,0.821837842464447
,0.42,0.1546,0.00019403193901161613,0.7449530959129333
,0.42,0.2377,0.00019384295691271522,0.8487717509269714
,0.43,0.1761,0.0001936511241197055,0.6637731790542603
,0.43,0.2254,0.0001934564464599461,1.0386683940887451
,0.44,0.2638,0.00019325892984721553,1.1940605640411377
,0.45,0.1955,0.00019305858028153186,0.8078206181526184
,0.45,0.1702,0.00019285540384897073,0.9856657385826111
,0.46,0.1469,0.00019264940672148018,0.7419494390487671
,0.46,0.254,0.0001924405951566934,0.8062146902084351
,0.47,0.2736,0.00019222897549773848,0.6110689640045166
,0.47,0.3489,0.00019201455417304579,0.943759024143219
,0.48,0.2054,0.0001917973376961527,0.6861760020256042
,0.48,0.1478,0.00019157733266550575,0.7942200303077698
,0.49,0.1647,0.0001913545457642601,0.7947928309440613
,0.49,0.108,0.00019112898376007662,0.7491986155509949
,0.5,0.2698,0.00019090065350491626,0.8747476935386658
,0.5,0.2816,0.00019066956193483195,0.9789426326751709
,0.51,0.1384,0.00019043571606975777,0.9323470592498779
,0.51,0.1309,0.00019019912301329592,0.8135088086128235
,0.52,0.2789,0.0001899597899525007,0.8825361728668213
,0.52,0.1677,0.00018971772415766043,0.7895289659500122
,0.53,0.1159,0.00018947293298207635,0.6358736157417297
,0.53,0.1028,0.0001892254238618394,0.7319266200065613
,0.54,0.1663,0.00018897520431560434,0.9453714489936829
,0.54,0.481,0.0001887222819443612,0.8662547469139099
,0.55,0.2952,0.0001884666644312046,0.9032829999923706
,0.55,0.1986,0.00018820835954110022,0.911908745765686
,0.56,0.0758,0.0001879473751206489,0.4192905128002167
,0.56,0.2033,0.00018768371909784845,0.5313205122947693
,0.57,0.0724,0.00018741739948185257,0.5280798673629761
,0.57,0.1741,0.00018714842436272773,0.8673144578933716
,0.58,0.0824,0.00018687680191120743,0.5242490768432617
,0.58,0.2681,0.00018660254037844388,0.6037517786026001
,0.59,0.1368,0.00018632564809575742,0.7417250275611877
,0.59,0.0966,0.0001860461334743834,0.6485532522201538
,0.6,0.1087,0.00018576400500521672,0.5791457891464233
,0.6,0.2578,0.0001854792712585539,0.7454131841659546
,0.61,0.136,0.00018519194088383273,0.8786396384239197
,0.61,0.1136,0.0001849020226093694,0.7299760580062866
,0.62,0.1792,0.00018460952524209355,0.8395220041275024
,0.62,0.2137,0.00018431445766728066,0.9033092260360718
,0.63,0.1236,0.00018401682884828212,0.7839480042457581
,0.63,0.0451,0.00018371664782625287,0.43284738063812256
,0.64,0.09,0.000183413923719877,0.5710866451263428
,0.64,0.169,0.0001831086657250905,0.7366635799407959
,0.65,0.1457,0.00018280088311480201,0.5876954793930054
,0.65,0.1986,0.00018249058523861118,0.5305446982383728
,0.66,0.2375,0.0001821777815225245,0.6783312559127808
,0.66,0.1098,0.00018186248146866927,0.6870834231376648
,0.67,0.2254,0.00018154469465500448,0.8542812466621399
,0.68,0.0663,0.00018122443073503034,0.5815373063087463
,0.68,0.2798,0.00018090169943749476,0.801689088344574
,0.69,0.0803,0.00018057651056609784,0.7312330007553101
,0.69,0.0361,0.0001802488739991941,0.5377846360206604
,0.7,0.0974,0.0001799187996894925,0.7293838858604431
,0.7,0.0576,0.00017958629766375386,0.5661756992340088
,0.71,0.159,0.00017925137802248653,0.866699755191803
,0.71,0.1548,0.00017891405093963938,0.5354855060577393
,0.72,0.0584,0.00017857432666229287,0.49837154150009155
,0.72,0.203,0.00017823221551034764,0.5687103271484375
,0.73,0.122,0.00017788772787621126,0.7990926504135132
,0.73,0.0525,0.00017754087422448215,0.8339225649833679
,0.74,0.1803,0.0001771916650916321,0.6465498805046082
,0.74,0.0326,0.00017684011108568592,0.41363853216171265
,0.75,0.2312,0.0001764862228858993,0.9035366773605347
,0.75,0.3869,0.00017613001124243446,0.7797691822052002
,0.76,0.1231,0.0001757714869760335,0.466450035572052
,0.76,0.2633,0.00017541066097768963,0.6481533050537109
,0.77,0.1152,0.0001750475442083166,0.3867965340614319
,0.77,0.0916,0.0001746821476984154,0.6134822368621826
,0.78,0.0454,0.00017431448254773944,0.427966445684433
,0.78,0.1003,0.00017394455992495722,0.5831173658370972
,0.79,0.144,0.00017357239106731317,0.46395960450172424
,0.79,0.2761,0.00017319798728028619,0.5083013772964478
,0.8,0.1529,0.00017282135993724622,0.5572101473808289
,0.8,0.3343,0.00017244252047910892,0.5092095732688904
,0.81,0.2825,0.00017206148041398785,0.5072486400604248
,0.81,0.1097,0.00017167825131684513,0.500479519367218
,0.82,0.1926,0.00017129284482913972,0.663201630115509
,0.82,0.0238,0.00017090527265847374,0.3773031532764435
,0.83,0.1849,0.00017051554657823692,0.7157613635063171
,0.83,0.0901,0.00017012367842724887,0.5262147784233093
,0.84,0.2898,0.00016972968010939954,0.539125382900238
,0.84,0.0993,0.00016933356359328757,0.5731317400932312
,0.85,0.2134,0.0001689353409118566,0.769805371761322
,0.85,0.2153,0.00016853502416203,0.36919543147087097
,0.86,0.2385,0.00016813262550434313,0.5178929567337036
,0.86,0.2149,0.00016772815716257412,0.6883758902549744
,0.87,0.2588,0.0001673216314233725,0.608200192451477
,0.87,0.0525,0.00016691306063588583,0.49447622895240784
,0.88,0.2337,0.0001665024572113848,0.577602744102478
,0.88,0.1282,0.00016608983362288612,0.5585653781890869
,0.89,0.2597,0.00016567520240477344,0.5370267033576965
,0.9,0.0811,0.00016525857615241687,0.5460788607597351
,0.9,0.1373,0.00016483996752179015,0.4201672673225403
,0.91,0.1375,0.00016441938922908645,0.4681072235107422
,0.91,0.3265,0.00016399685405033167,0.6816850304603577
